"Année","Entité administrative","Type de production","Filière de production","Filière détaillée","Valeur","Unite"
"2007","AUZET (04)","Thermique","Filières EnR et autres","Toutes","423.9","MWh PCI"
"2007","AVANÇON (05)","Thermique","Filières EnR et autres","Toutes","957.1","MWh PCI"
"2007","AVIGNON (84)","Electricité","Filières EnR et autres","Toutes","421638.9","MWh PCI"
"2007","AVIGNON (84)","Thermique","Filières EnR et autres","Toutes","68255.4","MWh PCI"
"2007","BAGNOLS-EN-FORÊT (83)","Thermique","Filières EnR et autres","Toutes","2265.2","MWh PCI"
"2007","BAIROLS (06)","Thermique","Filières EnR et autres","Toutes","172.4","MWh PCI"
"2007","BANDOL (83)","Electricité","Filières EnR et autres","Toutes","1.1","MWh PCI"
"2007","BANDOL (83)","Thermique","Filières EnR et autres","Toutes","2683.6","MWh PCI"
"2007","BANON (04)","Thermique","Filières EnR et autres","Toutes","1291.4","MWh PCI"
"2007","BARATIER (05)","Thermique","Filières EnR et autres","Toutes","774.7","MWh PCI"
"2007","BARBENTANE (13)","Thermique","Filières EnR et autres","Toutes","2481.1","MWh PCI"
"2007","BARCELONNETTE (04)","Thermique","Filières EnR et autres","Toutes","3238.9","MWh PCI"
"2007","BARCILLONNETTE (05)","Thermique","Filières EnR et autres","Toutes","332.5","MWh PCI"
"2007","BARGÈME (83)","Thermique","Filières EnR et autres","Toutes","430.2","MWh PCI"
"2007","BARGEMON (83)","Thermique","Filières EnR et autres","Toutes","1886.1","MWh PCI"
"2007","BARJOLS (83)","Thermique","Filières EnR et autres","Toutes","2347.0","MWh PCI"
"2007","BARLES (04)","Thermique","Filières EnR et autres","Toutes","552.3","MWh PCI"
"2007","BARRAS (04)","Thermique","Filières EnR et autres","Toutes","337.0","MWh PCI"
"2007","BARRÊME (04)","Thermique","Filières EnR et autres","Toutes","938.5","MWh PCI"
"2007","BARRET-SUR-MÉOUGE (05)","Thermique","Filières EnR et autres","Toutes","274.8","MWh PCI"
"2007","BAUDINARD-SUR-VERDON (83)","Thermique","Filières EnR et autres","Toutes","288.2","MWh PCI"
"2007","BAUDUEN (83)","Thermique","Filières EnR et autres","Toutes","612.4","MWh PCI"
"2007","BAYONS (04)","Thermique","Filières EnR et autres","Toutes","761.3","MWh PCI"
"2007","BEAUJEU (04)","Thermique","Filières EnR et autres","Toutes","450.9","MWh PCI"
"2007","BEAULIEU-SUR-MER (06)","Thermique","Filières EnR et autres","Toutes","734.7","MWh PCI"
"2007","BEAUMES-DE-VENISE (84)","Thermique","Filières EnR et autres","Toutes","1413.9","MWh PCI"
"2007","BEAUMETTES (84)","Thermique","Filières EnR et autres","Toutes","134.9","MWh PCI"
"2007","BEAUMONT-DE-PERTUIS (84)","Electricité","Filières EnR et autres","Toutes","73272.8","MWh PCI"
"2007","BEAUMONT-DE-PERTUIS (84)","Thermique","Filières EnR et autres","Toutes","1519.0","MWh PCI"
"2007","BEAUMONT-DU-VENTOUX (84)","Thermique","Filières EnR et autres","Toutes","575.6","MWh PCI"
"2007","BEAURECUEIL (13)","Thermique","Filières EnR et autres","Toutes","400.9","MWh PCI"
"2007","BEAUSOLEIL (06)","Thermique","Filières EnR et autres","Toutes","1499.8","MWh PCI"
"2007","BEAUVEZER (04)","Thermique","Filières EnR et autres","Toutes","2186.5","MWh PCI"
"2007","BÉDARRIDES (84)","Electricité","Filières EnR et autres","Toutes","0.2","MWh PCI"
"2007","BÉDARRIDES (84)","Thermique","Filières EnR et autres","Toutes","3056.4","MWh PCI"
"2007","BÉDOIN (84)","Thermique","Filières EnR et autres","Toutes","4073.3","MWh PCI"
"2007","BELCODÈNE (13)","Thermique","Filières EnR et autres","Toutes","1144.7","MWh PCI"
"2007","BELGENTIER (83)","Thermique","Filières EnR et autres","Toutes","1850.7","MWh PCI"
"2007","BELLAFFAIRE (04)","Thermique","Filières EnR et autres","Toutes","436.0","MWh PCI"
"2007","BELVÉDÈRE (06)","Electricité","Filières EnR et autres","Toutes","9330.6","MWh PCI"
"2007","BELVÉDÈRE (06)","Thermique","Filières EnR et autres","Toutes","2427.0","MWh PCI"
"2007","BENDEJUN (06)","Thermique","Filières EnR et autres","Toutes","749.9","MWh PCI"
"2007","BERRE-LES-ALPES (06)","Thermique","Filières EnR et autres","Toutes","843.3","MWh PCI"
"2007","BERRE-L'ÉTANG (13)","Electricité","Filières EnR et autres","Toutes","134566.3","MWh PCI"
"2007","BERRE-L'ÉTANG (13)","Thermique","Filières EnR et autres","Toutes","25796.1","MWh PCI"
"2007","BESSE-SUR-ISSOLE (83)","Thermique","Filières EnR et autres","Toutes","2709.0","MWh PCI"
"2007","BEUIL (06)","Thermique","Filières EnR et autres","Toutes","1573.5","MWh PCI"
"2007","BEVONS (04)","Thermique","Filières EnR et autres","Toutes","221.8","MWh PCI"
"2007","BEYNES (04)","Thermique","Filières EnR et autres","Toutes","265.8","MWh PCI"
"2007","BÉZAUDUN-LES-ALPES (06)","Thermique","Filières EnR et autres","Toutes","352.7","MWh PCI"
"2007","BIOT (06)","Electricité","Filières EnR et autres","Toutes","1.8","MWh PCI"
"2007","BIOT (06)","Thermique","Filières EnR et autres","Toutes","3229.8","MWh PCI"
"2007","BLAUSASC (06)","Thermique","Filières EnR et autres","Toutes","837.8","MWh PCI"
"2007","BLAUVAC (84)","Thermique","Filières EnR et autres","Toutes","618.6","MWh PCI"
"2007","BLIEUX (04)","Thermique","Filières EnR et autres","Toutes","350.8","MWh PCI"
"2007","BOLLÈNE (84)","Electricité","Filières EnR et autres","Toutes","2217100.3","MWh PCI"
"2007","BOLLÈNE (84)","Thermique","Filières EnR et autres","Toutes","6942.3","MWh PCI"
"2007","BONNIEUX (84)","Thermique","Filières EnR et autres","Toutes","2040.9","MWh PCI"
"2007","BONSON (06)","Thermique","Filières EnR et autres","Toutes","638.1","MWh PCI"
"2007","BORMES-LES-MIMOSAS (83)","Electricité","Filières EnR et autres","Toutes","0.8","MWh PCI"
"2007","BORMES-LES-MIMOSAS (83)","Thermique","Filières EnR et autres","Toutes","5374.7","MWh PCI"
"2007","BOUC-BEL-AIR (13)","Thermique","Filières EnR et autres","Toutes","7856.1","MWh PCI"
"2007","BOULBON (13)","Thermique","Filières EnR et autres","Toutes","1210.2","MWh PCI"
"2007","BOUYON (06)","Thermique","Filières EnR et autres","Toutes","506.9","MWh PCI"
"2007","BRANTES (84)","Thermique","Filières EnR et autres","Toutes","214.3","MWh PCI"
"2007","BRAS (83)","Electricité","Filières EnR et autres","Toutes","3.0","MWh PCI"
"2007","BRAS (83)","Thermique","Filières EnR et autres","Toutes","2442.6","MWh PCI"
"2007","BRAS-D'ASSE (04)","Thermique","Filières EnR et autres","Toutes","730.7","MWh PCI"
"2007","BRAUX (04)","Thermique","Filières EnR et autres","Toutes","580.7","MWh PCI"
"2007","BREIL-SUR-ROYA (06)","Electricité","Filières EnR et autres","Toutes","18589.5","MWh PCI"
"2007","BREIL-SUR-ROYA (06)","Thermique","Filières EnR et autres","Toutes","1908.7","MWh PCI"
"2007","BRENON (83)","Thermique","Filières EnR et autres","Toutes","71.2","MWh PCI"
"2007","BRÉZIERS (05)","Thermique","Filières EnR et autres","Toutes","645.9","MWh PCI"
"2007","BRIANÇON (05)","Electricité","Filières EnR et autres","Toutes","127541.6","MWh PCI"
"2007","BRIANÇON (05)","Thermique","Filières EnR et autres","Toutes","9312.9","MWh PCI"
"2007","BRIANÇONNET (06)","Thermique","Filières EnR et autres","Toutes","791.2","MWh PCI"
"2007","BRIGNOLES (83)","Thermique","Filières EnR et autres","Toutes","7508.8","MWh PCI"
"2007","BRUE-AURIAC (83)","Thermique","Filières EnR et autres","Toutes","837.7","MWh PCI"
"2007","BRUNET (04)","Thermique","Filières EnR et autres","Toutes","291.7","MWh PCI"
"2007","BUISSARD (05)","Thermique","Filières EnR et autres","Toutes","570.4","MWh PCI"
"2007","BUISSON (84)","Thermique","Filières EnR et autres","Toutes","434.8","MWh PCI"
"2007","BUOUX (84)","Thermique","Filières EnR et autres","Toutes","198.6","MWh PCI"
"2007","CABANNES (13)","Electricité","Filières EnR et autres","Toutes","0.2","MWh PCI"
"2007","CABANNES (13)","Thermique","Filières EnR et autres","Toutes","2813.2","MWh PCI"
"2007","CABASSE (83)","Thermique","Filières EnR et autres","Toutes","1894.3","MWh PCI"
"2007","CABRIÈRES-D'AIGUES (84)","Thermique","Filières EnR et autres","Toutes","737.3","MWh PCI"
"2007","CABRIÈRES-D'AVIGNON (84)","Thermique","Filières EnR et autres","Toutes","1606.8","MWh PCI"
"2007","CABRIÈS (13)","Thermique","Filières EnR et autres","Toutes","4726.4","MWh PCI"
"2007","CABRIS (06)","Thermique","Filières EnR et autres","Toutes","1186.7","MWh PCI"
"2007","CADENET (84)","Electricité","Filières EnR et autres","Toutes","0.7","MWh PCI"
"2007","CADENET (84)","Thermique","Filières EnR et autres","Toutes","2506.6","MWh PCI"
"2007","CADEROUSSE (84)","Electricité","Filières EnR et autres","Toutes","772067.1","MWh PCI"
"2007","CADEROUSSE (84)","Thermique","Filières EnR et autres","Toutes","1867.2","MWh PCI"
"2007","CADOLIVE (13)","Thermique","Filières EnR et autres","Toutes","1422.5","MWh PCI"
"2007","CAGNES-SUR-MER (06)","Electricité","Filières EnR et autres","Toutes","0.0","MWh PCI"
"2007","CAGNES-SUR-MER (06)","Thermique","Filières EnR et autres","Toutes","8990.1","MWh PCI"
"2007","CAILLE (06)","Electricité","Filières EnR et autres","Toutes","0.2","MWh PCI"
"2007","CAILLE (06)","Thermique","Filières EnR et autres","Toutes","1233.2","MWh PCI"
"2007","CAIRANNE (84)","Thermique","Filières EnR et autres","Toutes","669.8","MWh PCI"
"2007","CALLAS (83)","Thermique","Filières EnR et autres","Toutes","1902.3","MWh PCI"
"2007","CALLIAN (83)","Thermique","Filières EnR et autres","Toutes","2148.7","MWh PCI"
"2007","CAMARET-SUR-AIGUES (84)","Thermique","Filières EnR et autres","Toutes","2530.9","MWh PCI"
"2007","CAMPS-LA-SOURCE (83)","Thermique","Filières EnR et autres","Toutes","1454.4","MWh PCI"
"2007","CANNES (06)","Electricité","Filières EnR et autres","Toutes","17884.0","MWh PCI"
"2007","CANNES (06)","Thermique","Filières EnR et autres","Toutes","33883.8","MWh PCI"
"2007","CANTARON (06)","Electricité","Filières EnR et autres","Toutes","0.1","MWh PCI"
"2007","CANTARON (06)","Thermique","Filières EnR et autres","Toutes","742.5","MWh PCI"
"2007","CAP-D'AIL (06)","Thermique","Filières EnR et autres","Toutes","829.9","MWh PCI"
"2007","CARCÈS (83)","Thermique","Filières EnR et autres","Toutes","2877.0","MWh PCI"
"2007","CARNOULES (83)","Thermique","Filières EnR et autres","Toutes","2675.6","MWh PCI"
"2007","CARNOUX-EN-PROVENCE (13)","Thermique","Filières EnR et autres","Toutes","2500.7","MWh PCI"
"2007","CAROMB (84)","Electricité","Filières EnR et autres","Toutes","22.6","MWh PCI"
"2007","CAROMB (84)","Thermique","Filières EnR et autres","Toutes","2356.2","MWh PCI"
"2007","CARPENTRAS (84)","Electricité","Filières EnR et autres","Toutes","3208.3","MWh PCI"
"2007","CARPENTRAS (84)","Thermique","Filières EnR et autres","Toutes","13896.3","MWh PCI"
"2007","CARQUEIRANNE (83)","Thermique","Filières EnR et autres","Toutes","3554.6","MWh PCI"
"2007","CARROS (06)","Electricité","Filières EnR et autres","Toutes","0.2","MWh PCI"
"2007","CARROS (06)","Thermique","Filières EnR et autres","Toutes","4101.4","MWh PCI"
"2007","CARRY-LE-ROUET (13)","Thermique","Filières EnR et autres","Toutes","2887.2","MWh PCI"
"2007","CASENEUVE (84)","Thermique","Filières EnR et autres","Toutes","767.2","MWh PCI"
"2007","CASSIS (13)","Thermique","Filières EnR et autres","Toutes","3140.4","MWh PCI"
"2007","CASTAGNIERS (06)","Thermique","Filières EnR et autres","Toutes","1047.7","MWh PCI"
"2007","CASTELLANE (04)","Electricité","Filières EnR et autres","Toutes","23882.0","MWh PCI"
"2007","CASTELLANE (04)","Thermique","Filières EnR et autres","Toutes","2898.1","MWh PCI"
"2007","CASTELLAR (06)","Thermique","Filières EnR et autres","Toutes","591.0","MWh PCI"
"2007","CASTELLET (84)","Thermique","Filières EnR et autres","Toutes","198.1","MWh PCI"
"2007","CASTELLET-LÈS-SAUSSES (04)","Thermique","Filières EnR et autres","Toutes","555.7","MWh PCI"
"2007","CASTILLON (06)","Thermique","Filières EnR et autres","Toutes","425.8","MWh PCI"
"2007","CAUMONT-SUR-DURANCE (84)","Thermique","Filières EnR et autres","Toutes","3030.8","MWh PCI"
"2007","CAUSSOLS (06)","Thermique","Filières EnR et autres","Toutes","786.6","MWh PCI"
"2007","CAVAILLON (84)","Electricité","Filières EnR et autres","Toutes","10291.9","MWh PCI"
"2007","CAVAILLON (84)","Thermique","Filières EnR et autres","Toutes","16292.7","MWh PCI"
"2007","CAVALAIRE-SUR-MER (83)","Thermique","Filières EnR et autres","Toutes","3293.0","MWh PCI"
"2007","CEILLAC (05)","Thermique","Filières EnR et autres","Toutes","861.7","MWh PCI"
"2007","CÉRESTE (04)","Thermique","Filières EnR et autres","Toutes","1664.2","MWh PCI"
"2007","CERVIÈRES (05)","Thermique","Filières EnR et autres","Toutes","951.6","MWh PCI"
"2007","CEYRESTE (13)","Thermique","Filières EnR et autres","Toutes","2573.6","MWh PCI"
"2007","CHABESTAN (05)","Thermique","Filières EnR et autres","Toutes","250.6","MWh PCI"
"2007","CHABOTTES (05)","Thermique","Filières EnR et autres","Toutes","1107.3","MWh PCI"
"2007","CHAMPCELLA (05)","Thermique","Filières EnR et autres","Toutes","426.3","MWh PCI"
"2007","CHAMPOLÉON (05)","Thermique","Filières EnR et autres","Toutes","535.4","MWh PCI"
"2007","CHAMPTERCIER (04)","Thermique","Filières EnR et autres","Toutes","795.8","MWh PCI"
"2007","CHANOUSSE (05)","Thermique","Filières EnR et autres","Toutes","173.9","MWh PCI"
"2007","CHARLEVAL (13)","Thermique","Filières EnR et autres","Toutes","1672.4","MWh PCI"
"2007","CHÂTEAU-ARNOUX-SAINT-AUBAN (04)","Thermique","Filières EnR et autres","Toutes","2329.1","MWh PCI"
"2007","CHÂTEAUDOUBLE (83)","Thermique","Filières EnR et autres","Toutes","874.7","MWh PCI"
"2007","CHÂTEAUFORT (04)","Thermique","Filières EnR et autres","Toutes","80.9","MWh PCI"
"2007","CHÂTEAUNEUF-DE-GADAGNE (84)","Thermique","Filières EnR et autres","Toutes","1884.2","MWh PCI"
"2007","CHÂTEAUNEUF-D'ENTRAUNES (06)","Thermique","Filières EnR et autres","Toutes","419.2","MWh PCI"
"2007","CHÂTEAUNEUF-D'OZE (05)","Thermique","Filières EnR et autres","Toutes","113.2","MWh PCI"
"2007","CHÂTEAUNEUF-DU-PAPE (84)","Thermique","Filières EnR et autres","Toutes","1128.4","MWh PCI"
"2007","CHÂTEAUNEUF-GRASSE (06)","Thermique","Filières EnR et autres","Toutes","1825.4","MWh PCI"
"2007","CHÂTEAUNEUF-LE-ROUGE (13)","Thermique","Filières EnR et autres","Toutes","1441.4","MWh PCI"
"2007","CHÂTEAUNEUF-LES-MARTIGUES (13)","Electricité","Filières EnR et autres","Toutes","121679.5","MWh PCI"
"2007","CHÂTEAUNEUF-LES-MARTIGUES (13)","Thermique","Filières EnR et autres","Toutes","4460.2","MWh PCI"
"2007","CHÂTEAUNEUF-MIRAVAIL (04)","Thermique","Filières EnR et autres","Toutes","122.8","MWh PCI"
"2007","CHÂTEAUNEUF-VAL-SAINT-DONAT (04)","Thermique","Filières EnR et autres","Toutes","717.4","MWh PCI"
"2007","CHÂTEAUNEUF-VILLEVIEILLE (06)","Thermique","Filières EnR et autres","Toutes","574.0","MWh PCI"
"2007","CHÂTEAUREDON (04)","Thermique","Filières EnR et autres","Toutes","174.2","MWh PCI"
"2007","CHÂTEAURENARD (13)","Electricité","Filières EnR et autres","Toutes","15895.2","MWh PCI"
"2007","CHÂTEAURENARD (13)","Thermique","Filières EnR et autres","Toutes","21040.7","MWh PCI"
"2007","CHÂTEAUROUX-LES-ALPES (05)","Electricité","Filières EnR et autres","Toutes","0.6","MWh PCI"
"2007","CHÂTEAUROUX-LES-ALPES (05)","Thermique","Filières EnR et autres","Toutes","2835.0","MWh PCI"
"2007","CHÂTEAUVERT (83)","Thermique","Filières EnR et autres","Toutes","287.2","MWh PCI"
"2007","CHÂTEAUVIEUX (05)","Thermique","Filières EnR et autres","Toutes","469.1","MWh PCI"
"2007","CHÂTEAUVIEUX (83)","Thermique","Filières EnR et autres","Toutes","224.1","MWh PCI"
"2007","CHÂTEAU-VILLE-VIEILLE (05)","Thermique","Filières EnR et autres","Toutes","1048.5","MWh PCI"
"2007","CHAUDON-NORANTE (04)","Thermique","Filières EnR et autres","Toutes","342.2","MWh PCI"
"2007","CHEVAL-BLANC (84)","Thermique","Filières EnR et autres","Toutes","3423.4","MWh PCI"
"2007","CHORGES (05)","Thermique","Filières EnR et autres","Toutes","3206.2","MWh PCI"
"2007","CIPIÈRES (06)","Thermique","Filières EnR et autres","Toutes","752.2","MWh PCI"
"2007","CLAMENSANE (04)","Thermique","Filières EnR et autres","Toutes","286.3","MWh PCI"
"2007","CLANS (06)","Electricité","Filières EnR et autres","Toutes","117333.1","MWh PCI"
"2007","CLANS (06)","Thermique","Filières EnR et autres","Toutes","761.1","MWh PCI"
"2007","CLARET (04)","Thermique","Filières EnR et autres","Toutes","419.8","MWh PCI"
"2007","CLAVIERS (83)","Thermique","Filières EnR et autres","Toutes","1139.7","MWh PCI"
"2007","CLUMANC (04)","Thermique","Filières EnR et autres","Toutes","658.3","MWh PCI"
"2007","COARAZE (06)","Thermique","Filières EnR et autres","Toutes","1114.2","MWh PCI"
"2007","COGOLIN (83)","Thermique","Filières EnR et autres","Toutes","4094.8","MWh PCI"
"2007","COLLOBRIÈRES (83)","Electricité","Filières EnR et autres","Toutes","0.2","MWh PCI"
"2007","COLLOBRIÈRES (83)","Thermique","Filières EnR et autres","Toutes","1464.6","MWh PCI"
"2007","COLLONGUES (06)","Thermique","Filières EnR et autres","Toutes","226.8","MWh PCI"
"2007","COLMARS (04)","Thermique","Filières EnR et autres","Toutes","1949.3","MWh PCI"
"2007","COLOMARS (06)","Thermique","Filières EnR et autres","Toutes","1925.6","MWh PCI"
"2007","COMPS-SUR-ARTUBY (83)","Thermique","Filières EnR et autres","Toutes","617.5","MWh PCI"
"2007","CONSÉGUDES (06)","Thermique","Filières EnR et autres","Toutes","171.3","MWh PCI"
"2007","CONTES (06)","Thermique","Filières EnR et autres","Toutes","4036.8","MWh PCI"
"2007","CORBIÈRES (04)","Thermique","Filières EnR et autres","Toutes","777.0","MWh PCI"
"2007","CORNILLON-CONFOUX (13)","Thermique","Filières EnR et autres","Toutes","1141.0","MWh PCI"
"2007","CORRENS (83)","Thermique","Filières EnR et autres","Toutes","1071.9","MWh PCI"
"2007","COTIGNAC (83)","Thermique","Filières EnR et autres","Toutes","3249.0","MWh PCI"
"2007","COUDOUX (13)","Thermique","Filières EnR et autres","Toutes","2215.9","MWh PCI"
"2007","COURMES (06)","Electricité","Filières EnR et autres","Toutes","6848.3","MWh PCI"
"2007","COURMES (06)","Thermique","Filières EnR et autres","Toutes","4559.7","MWh PCI"
"2007","COURSEGOULES (06)","Electricité","Filières EnR et autres","Toutes","0.2","MWh PCI"
"2007","COURSEGOULES (06)","Thermique","Filières EnR et autres","Toutes","796.9","MWh PCI"
"2007","COURTHÉZON (84)","Electricité","Filières EnR et autres","Toutes","0.3","MWh PCI"
"2007","COURTHÉZON (84)","Thermique","Filières EnR et autres","Toutes","3175.5","MWh PCI"
"2007","CRESTET (84)","Thermique","Filières EnR et autres","Toutes","578.6","MWh PCI"
"2007","CRÉVOUX (05)","Thermique","Filières EnR et autres","Toutes","510.6","MWh PCI"
"2007","CRILLON-LE-BRAVE (84)","Thermique","Filières EnR et autres","Toutes","430.1","MWh PCI"
"2007","CROTS (05)","Thermique","Filières EnR et autres","Toutes","2729.7","MWh PCI"
"2007","CRUIS (04)","Thermique","Filières EnR et autres","Toutes","1208.0","MWh PCI"
"2007","CUCURON (84)","Thermique","Filières EnR et autres","Toutes","1864.2","MWh PCI"
"2007","CUÉBRIS (06)","Thermique","Filières EnR et autres","Toutes","247.6","MWh PCI"
"2007","CUERS (83)","Electricité","Filières EnR et autres","Toutes","1.3","MWh PCI"
"2007","CUERS (83)","Thermique","Filières EnR et autres","Toutes","5469.5","MWh PCI"
"2007","CUGES-LES-PINS (13)","Electricité","Filières EnR et autres","Toutes","6.2","MWh PCI"
"2007","CUGES-LES-PINS (13)","Thermique","Filières EnR et autres","Toutes","3303.1","MWh PCI"
"2007","CURBANS (04)","Electricité","Filières EnR et autres","Toutes","272297.6","MWh PCI"
"2007","CURBANS (04)","Thermique","Filières EnR et autres","Toutes","549.8","MWh PCI"
"2007","CUREL (04)","Thermique","Filières EnR et autres","Toutes","155.0","MWh PCI"
"2007","DALUIS (06)","Thermique","Filières EnR et autres","Toutes","379.7","MWh PCI"
"2007","DAUPHIN (04)","Thermique","Filières EnR et autres","Toutes","793.5","MWh PCI"
"2007","DEMANDOLX (04)","Electricité","Filières EnR et autres","Toutes","56210.9","MWh PCI"
"2007","DEMANDOLX (04)","Thermique","Filières EnR et autres","Toutes","192.5","MWh PCI"
"2007","DEVOLUY (05)","Thermique","Filières EnR et autres","Toutes","108.2","MWh PCI"
"2007","DÉVOLUY (05)","Thermique","Filières EnR et autres","Toutes","108.2","MWh PCI"
"2007","DIGNE-LES-BAINS (04)","Electricité","Filières EnR et autres","Toutes","5.3","MWh PCI"
"2007","DIGNE-LES-BAINS (04)","Thermique","Filières EnR et autres","Toutes","9369.6","MWh PCI"
"2007","DRAGUIGNAN (83)","Electricité","Filières EnR et autres","Toutes","0.2","MWh PCI"
"2007","DRAGUIGNAN (83)","Thermique","Filières EnR et autres","Toutes","14372.0","MWh PCI"
"2007","DRAIX (04)","Thermique","Filières EnR et autres","Toutes","220.9","MWh PCI"
"2007","DRAP (06)","Thermique","Filières EnR et autres","Toutes","1493.5","MWh PCI"
"2007","DURANUS (06)","Thermique","Filières EnR et autres","Toutes","266.9","MWh PCI"
"2007","ÉGUILLES (13)","Thermique","Filières EnR et autres","Toutes","4744.2","MWh PCI"
