"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","BEAUMETTES (84)","Tous secteurs","Toutes énergies","conso","1339.6","tep"
"2007","BEAUMONT-DE-PERTUIS (84)","Tous secteurs","Toutes énergies","conso","2580.0","tep"
"2007","BEAUMONT-DU-VENTOUX (84)","Tous secteurs","Toutes énergies","conso","729.5","tep"
"2007","BEAURECUEIL (13)","Tous secteurs","Toutes énergies","conso","673.3","tep"
"2007","BEAUSOLEIL (06)","Tous secteurs","Toutes énergies","conso","19922.5","tep"
"2007","BEAUVEZER (04)","Tous secteurs","Toutes énergies","conso","657.8","tep"
"2007","BÉDARRIDES (84)","Tous secteurs","Toutes énergies","conso","21220.1","tep"
"2007","BÉDOIN (84)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","BÉDOIN (84)","Tous secteurs","Toutes énergies","conso","3872.6","tep"
"2007","BELCODÈNE (13)","Tous secteurs","Toutes énergies","conso","7250.5","tep"
"2007","BELGENTIER (83)","Tous secteurs","Toutes énergies","conso","5327.3","tep"
"2007","BELLAFFAIRE (04)","Tous secteurs","Toutes énergies","conso","294.6","tep"
"2007","BELVÉDÈRE (06)","Tous secteurs","Toutes énergies","conso","966.0","tep"
"2007","BENDEJUN (06)","Tous secteurs","Toutes énergies","conso","926.0","tep"
"2007","BERRE-LES-ALPES (06)","Tous secteurs","Toutes énergies","conso","1062.5","tep"
"2007","BERRE-L'ÉTANG (13)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","BERRE-L'ÉTANG (13)","Tous secteurs","Toutes énergies","conso","570842.9","tep"
"2007","BESSE-SUR-ISSOLE (83)","Tous secteurs","Toutes énergies","conso","3246.7","tep"
"2007","BEUIL (06)","Tous secteurs","Toutes énergies","conso","1438.2","tep"
"2007","BEVONS (04)","Tous secteurs","Toutes énergies","conso","639.1","tep"
"2007","BEYNES (04)","Tous secteurs","Toutes énergies","conso","869.7","tep"
"2007","BÉZAUDUN-LES-ALPES (06)","Tous secteurs","Toutes énergies","conso","525.4","tep"
"2007","BIOT (06)","Tous secteurs","Toutes énergies","conso","25694.5","tep"
"2007","BLAUSASC (06)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","BLAUSASC (06)","Tous secteurs","Toutes énergies","conso","8667.6","tep"
"2007","BLAUVAC (84)","Tous secteurs","Toutes énergies","conso","543.6","tep"
"2007","BLIEUX (04)","Tous secteurs","Toutes énergies","conso","102.7","tep"
"2007","BOLLÈNE (84)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","BOLLÈNE (84)","Tous secteurs","Toutes énergies","conso","50528.0","tep"
"2007","BONNIEUX (84)","Tous secteurs","Toutes énergies","conso","4526.6","tep"
"2007","BONSON (06)","Tous secteurs","Toutes énergies","conso","1676.9","tep"
"2007","BORMES-LES-MIMOSAS (83)","Tous secteurs","Toutes énergies","conso","14587.9","tep"
